title,symptom_keywords,symptom_keywords,recommendation,
Corneal Disorder,"Blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss","Blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss","Treatment depends on the specific corneal disorder and may include: artificial tears or lubricating eye drops, antibiotic or antifungal eye drops (if infection is present), corticosteroid eye drops or ointments (to reduce inflammation), bandage contact lenses, therapeutic contact lenses, corneal transplantation (in severe cases), refractive surgeries (such as LASIK or PRK) to correct vision, protective eyewear or sunglasses, avoiding irritants or triggers, regular eye examinations and monitoring, lifestyle modifications (such as proper eye hygiene and avoiding eye strain)",
Mucoepidermoid carcinoma,"Lump, swelling, Difficulty, pain when swallowing and speaking, Facial weakness, Facial paralysis ","Lump, swelling, Difficulty, pain when swallowing and speaking, Facial weakness, Facial paralysis ","Surgery, Radiation therapy",
Carpal Tunnel Syndrome,"Tingling, numbness, and pain in the hand and fingers","Tingling, numbness, and pain in the hand and fingers","Wrist splints, avoiding repetitive hand movements, applying cold or hot compresses, gentle exercises, ergonomic adjustments",
Macular Degeneration,"Blurred or distorted central vision, blind spots","Blurred or distorted central vision, blind spots","Vision aids, medications (injections into the eye), laser therapy, photodynamic therapy, surgical intervention",
Atrophic vaginitis,"Vaginal dryness, Vaginal burning, frequent urination, urinary tract infections, Painful intercourse","Vaginal dryness, Vaginal burning, frequent urination, urinary tract infections, Painful intercourse","Vaginal moisturizers, Vaginal estrogen therapy, Lifestyle modifications",
Osteochondrosis,"Joint pain, stiffness, swelling, reduced range of motion","Joint pain, stiffness, swelling, reduced range of motion","Physical therapy, pain medications, rest, surgery",
Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Weakness, numbness, tingling in limbs","Weakness, numbness, tingling in limbs","Immunoglobulin therapy, corticosteroids, physical therapy",
Parasitic Infections,"Intense itching, visible lice or nits in the affected area","Intense itching, visible lice or nits in the affected area","Prescription medications (topical or oral antiparasitic agents), washing clothes and bedding in hot water",
Normal Pressure Hydrocephalus,"Gait disturbances, urinary incontinence, cognitive decline or dementia-like symptoms","Gait disturbances, urinary incontinence, cognitive decline or dementia-like symptoms","Ventriculoperitoneal shunt placement, medication management for symptoms",
Kidney Stone,"Severe pain in the side or back, blood in the urine, frequent urination","Severe pain in the side or back, blood in the urine, frequent urination","Pain management, increased fluid intake, medication to facilitate stone passage, minimally invasive procedures or surgery",
Pituitary Disorder,"Various symptoms depending on the specific disorder, including hormonal imbalances","Various symptoms depending on the specific disorder, including hormonal imbalances","Treatment depends on the specific pituitary disorder and may involve medications, surgery, hormone replacement therapy",
Pinguecula,"Yellowish or white growth on the conjunctiva (eye's surface), usually near the cornea","Yellowish or white growth on the conjunctiva (eye's surface), usually near the cornea","Artificial tears, lubricating eye drops, sunglasses for UV protection, surgical removal (in severe cases)",
Influenza (Flu),"High fever, body aches, fatigue, cough, sore throat, congestion","High fever, body aches, fatigue, cough, sore throat, congestion","Rest, fluids, over-the-counter medications for symptom relief, antiviral medications (in some cases)",
Cat Scratch Disease,"Swollen lymph nodes, fever, fatigue, headache, rash","Swollen lymph nodes, fever, fatigue, headache, rash","Antibiotics (azithromycin, doxycycline), pain management, supportive care",
Hyperemesis Gravidarum,Severe nausea and vomiting during pregnancy,Severe nausea and vomiting during pregnancy,"Intravenous fluids to prevent dehydration, anti-nausea medications, nutritional support, rest, monitoring for weight loss and electrolyte imbalance",
Diabetic retinopathy,"Blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss","Blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss","Management of blood sugar levels, blood pressure control, cholesterol management, regular eye examinations, laser treatment , intravitreal injections of anti-VEGF medications, vitrectomy",
Aplastic Anemia,"Fatigue, pale skin, frequent infections, shortness of breath, rapid or irregular heartbeats, prolonged bleeding or bruising","Fatigue, pale skin, frequent infections, shortness of breath, rapid or irregular heartbeats, prolonged bleeding or bruising","Blood transfusions, bone marrow-stimulating medications, immunosuppressive therapy, stem cell transplant (in severe cases), supportive care",
Wilson Disease,"Fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)","Fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)","Medications to remove copper from the body (chelators), dietary changes, liver transplant (in severe cases)",
Drug Abuse (Barbiturates),"Sedation, drowsiness, slurred speech, confusion, respiratory depression","Sedation, drowsiness, slurred speech, confusion, respiratory depression","Medical detoxification, supportive care, counseling, rehabilitation programs",
Primary Insomnia,"Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating","Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating","Cognitive-behavioral therapy for insomnia (CBT-I), sleep hygiene practices (such as maintaining a regular sleep schedule, creating a comfortable sleep environment), relaxation techniques, stimulus control techniques (such as limiting bed activities to sleep only), sleep restriction therapy, medications for insomnia (such as sedative-hypnotics, melatonin agonists)",
Mastoiditis,"Ear pain (particularly behind the ear), swelling and redness of the ear or the area behind the ear, fever, headache, hearing loss or impaired hearing, drainage of fluid or pus from the ear, earache, irritability (in infants and young children), tenderness or pain when touching the area, mastoid bone protrusion or swelling","Ear pain (particularly behind the ear), swelling and redness of the ear or the area behind the ear, fever, headache, hearing loss or impaired hearing, drainage of fluid or pus from the ear, earache, irritability (in infants and young children), tenderness or pain when touching the area, mastoid bone protrusion or swelling","Antibiotics (oral or intravenous) to treat the underlying bacterial infection, pain relievers (such as acetaminophen or ibuprofen) for pain and fever, ear drops (if there is drainage from the ear), surgical intervention (in severe or chronic cases), such as mastoidectomy (removal of infected mastoid bone cells) or tympanostomy tube placement (to relieve pressure and drain fluid from the middle ear), supportive care (rest, hydration, warm compresses)",
Acinic cell carcinoma,"Lump, swelling, Facial changes","Lump, swelling, Facial changes","Surgery, Radiation therapy",
Arthritis,"Joint pain, stiffness, swelling","Joint pain, stiffness, swelling","Medications, physical therapy, surgery (in severe cases)",
Wharton's duct stones,"Swelling, pain, dry mouth, bad taste","Swelling, pain, dry mouth, bad taste","Hydration,Saliva stimulation, Stone removal",
Pharyngitis,"Sore throat, difficulty swallowing, swollen lymph nodes","Sore throat, difficulty swallowing, swollen lymph nodes","Rest, pain relievers, throat lozenges, antibiotics (if bacterial infection), symptomatic relief",
Pericarditis,"Chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever","Chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever","Nonsteroidal anti-inflammatory drugs (NSAIDs) to reduce inflammation and pain, colchicine (for recurrent or persistent pericarditis), corticosteroids (in severe cases or when NSAIDs are ineffective), antibiotics (if bacterial infection is present), lifestyle modifications (rest, avoiding strenuous activity), treating underlying causes (if identified), potential pericardiocentesis (fluid drainage)",
Antihypertensives Poisoning,"Dizziness, low blood pressure, slow heart rate, nausea, vomiting","Dizziness, low blood pressure, slow heart rate, nausea, vomiting","Immediate medical attention, activated charcoal administration, supportive care, specific antidotes",
Hypothyroidism,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels","Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels","Hormone replacement therapy with synthetic thyroid hormone (levothyroxine), regular monitoring of thyroid hormone levels and adjustment of medication dosage, lifestyle modifications (such as healthy diet and regular exercise), management of associated symptoms (such as cholesterol-lowering medications or antidepressants), education and support for long-term management",
Oral Leukoplakia,"White patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off","White patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off","Regular monitoring and follow-up, identification and elimination of potential irritants (such as tobacco or alcohol), improving oral hygiene practices, medication (such as topical retinoids or antifungal agents), surgical removal (in some cases), cryotherapy (freezing the patches), laser therapy, lifestyle modifications (such as healthy diet), regular dental check-ups, education and support",
Seborrheic Dermatitis,"Red, itchy, and oily patches of skin, dandruff, flaky scalp","Red, itchy, and oily patches of skin, dandruff, flaky scalp","Topical antifungal creams or ointments, medicated shampoos, corticosteroid creams",
Hydrocephalus,"Headache, nausea, vomiting, cognitive or developmental problems, enlarged head in infants","Headache, nausea, vomiting, cognitive or developmental problems, enlarged head in infants","Shunt placement (to divert excess cerebrospinal fluid), endoscopic third ventriculostomy, medication (in some cases)",
Marijuana Abuse,"Impaired memory and cognition, altered judgment, anxiety","Impaired memory and cognition, altered judgment, anxiety","Behavioral therapy, counseling, support groups, medication, detoxification",
Chronic Otitis Media,"Ear pain, hearing loss, recurrent ear infections","Ear pain, hearing loss, recurrent ear infections","Antibiotics, ear drops, surgical intervention (in some cases)",
Pterygium,Growth on the conjunctiva (white part of the eye),Growth on the conjunctiva (white part of the eye),"Artificial tears, eye lubricants, surgical removal (in severe cases)",
Hepatic Encephalopathy,"Confusion, forgetfulness, personality changes, tremors","Confusion, forgetfulness, personality changes, tremors","Treating underlying liver disease, medications to manage symptoms, dietary modifications",
Tietze Syndrome,"Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone","Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone","Nonsteroidal anti-inflammatory drugs (NSAIDs), pain relievers, local heat or ice application, avoiding activities that worsen symptoms, supportive measures (such as wearing loose clothing or using supportive pillows), physical therapy (to improve posture and strengthen muscles), corticosteroid injections (in some cases), stress reduction techniques",
Nose Disorder,"Nasal congestion, runny nose, sneezing, facial pain or pressure, loss of smell","Nasal congestion, runny nose, sneezing, facial pain or pressure, loss of smell","Treatment depends on the underlying cause (such as allergies, sinusitis, or nasal polyps), and may include medications (such as decongestants, antihistamines, nasal sprays), saline nasal irrigation, steam inhalation, allergy management, antibiotics (if bacterial infection is present), surgical intervention (in some cases)",
Exfoliation Glaucoma,"Elevated intraocular pressure, visual field loss","Elevated intraocular pressure, visual field loss","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",
Protein Deficiency,"Muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity","Muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity","Increasing protein intake through diet (lean meats, fish, dairy, legumes, nuts), protein supplements, nutritional counseling, addressing underlying causes (e.g., malabsorption)",
Thrombocytopenia,"Easy bruising, prolonged bleeding from cuts, petechiae (red or purple spots on the skin), nosebleeds, excessive menstrual bleeding","Easy bruising, prolonged bleeding from cuts, petechiae (red or purple spots on the skin), nosebleeds, excessive menstrual bleeding","Treatment of underlying cause, platelet transfusion (if severe), medication (corticosteroids, immunosuppressants), avoiding medications that can worsen platelet counts",
Alopecia,"Hair loss or balding, patchy or generalized hair loss","Hair loss or balding, patchy or generalized hair loss","Topical medications (minoxidil), oral medications (finasteride), steroid injections, hair transplant surgery, wigs or hairpieces",
Polymyalgia Rheumatica,"Muscle pain and stiffness, joint pain, fatigue","Muscle pain and stiffness, joint pain, fatigue","Low-dose corticosteroids, nonsteroidal anti-inflammatory drugs (NSAIDs)",
Bone Cancer,"Bone pain, fractures, fatigue, unexplained weight loss","Bone pain, fractures, fatigue, unexplained weight loss","Surgery, chemotherapy, radiation therapy, targeted therapy",
Preeclampsia,"High blood pressure, proteinuria, swelling, headaches, visual disturbances","High blood pressure, proteinuria, swelling, headaches, visual disturbances","Bed rest, blood pressure monitoring, frequent prenatal visits, medication (such as antihypertensive drugs), magnesium sulfate (for severe cases), delivery of the baby (in severe cases)",
Hypertrophic Obstructive Cardiomyopathy (HOCM),"Shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs","Shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs","Medications to relieve symptoms and improve heart function (such as beta-blockers, calcium channel blockers, and disopyramide), medications to prevent abnormal heart rhythms (such as anti-arrhythmic drugs), medications to reduce blood clotting (such as aspirin or anticoagulants), implantable cardioverter-defibrillator (ICD) placement (to monitor and correct abnormal heart rhythms), septal myectomy (surgical removal of a portion of the thickened heart muscle), alcohol septal ablation (destruction of excess heart muscle with alcohol injection), lifestyle modifications (such as avoiding strenuous activities, managing stress, and maintaining a healthy weight), regular follow-up visits with a cardiologist",
Nonalcoholic Liver Disease (NASH),"Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance","Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance","Lifestyle changes (weight loss, healthy diet, regular exercise), management of underlying conditions, medication as needed",
Amyloidosis,"Fatigue, weight loss, organ dysfunction","Fatigue, weight loss, organ dysfunction",Treatment depends on the type and extent of organ damage,
Ethylene glycol poisoning-3,"Decreased urine output, swelling in the legs and ankles, and signs of fluid overload, Severe kidney damage","Decreased urine output, swelling in the legs and ankles, and signs of fluid overload, Severe kidney damage","Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis",
Fracture of the Rib,"Chest pain, difficulty breathing, tenderness or swelling over the ribcage","Chest pain, difficulty breathing, tenderness or swelling over the ribcage","Pain management, rest, immobilization (splinting or bracing), physical therapy",
Breast Cancer,"Breast lump, changes in breast size or shape, nipple changes, breast pain","Breast lump, changes in breast size or shape, nipple changes, breast pain","Surgery (lumpectomy or mastectomy), radiation therapy, chemotherapy, hormone therapy, targeted therapy",
Neuromyelitis Optica,"Optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)","Optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)","High-dose corticosteroids, plasma exchange (to remove antibodies from the blood), immunosuppressive therapy (such as azathioprine or rituximab), supportive care to manage symptoms, physical therapy or rehabilitation for functional recovery",
Eye alignment disorder,"Double vision, Eye fatigue, Poor depth perception, Head tilting","Double vision, Eye fatigue, Poor depth perception, Head tilting","Glasses, Patching therapy, Vision therapy, Botox injections, Surgical intervention",
Meniere Disease,"Vertigo, hearing loss, tinnitus, ear fullness","Vertigo, hearing loss, tinnitus, ear fullness","Medications (diuretics, anti-vertigo drugs), lifestyle changes",
Pituitary Adenoma,"Headaches, vision problems (such as blurred vision or loss of peripheral vision), hormonal imbalances (such as excessive production or deficiency of specific hormones), fatigue, weight gain or loss, menstrual irregularities, infertility, erectile dysfunction, growth abnormalities in children, mood changes, cognitive impairments","Headaches, vision problems (such as blurred vision or loss of peripheral vision), hormonal imbalances (such as excessive production or deficiency of specific hormones), fatigue, weight gain or loss, menstrual irregularities, infertility, erectile dysfunction, growth abnormalities in children, mood changes, cognitive impairments","Observation and monitoring (for small, non-secreting tumors that are not causing significant symptoms), medication (to manage hormonal imbalances or reduce tumor size), surgery (transsphenoidal surgery to remove the tumor), radiation therapy (in cases where surgery is not possible or to treat residual or recurrent tumors), targeted therapy (in cases of aggressive or resistant tumors), hormone replacement therapy (if necessary), regular follow-up and monitoring to assess tumor growth and hormone levels, management of associated complications or hormone deficiencies",
Ischemia of the Bowel,"Severe abdominal pain, bloody stools, diarrhea, nausea, vomiting, fever, rapid heart rate, low blood pressure","Severe abdominal pain, bloody stools, diarrhea, nausea, vomiting, fever, rapid heart rate, low blood pressure","diagnostic tests, intravenous fluids and medications to stabilize the patient, bowel rest, resection, bypass procedure, potential angioplasty",
Hydrocele of the Testicle,Swelling of the scrotum,Swelling of the scrotum,"Observation, surgical drainage (in some cases)",
Endometrial Cancer,"Abnormal vaginal bleeding, pelvic pain or discomfort, changes in bowel or bladder habits","Abnormal vaginal bleeding, pelvic pain or discomfort, changes in bowel or bladder habits","Surgery (hysterectomy), radiation therapy, chemotherapy, hormone therapy",
Endometriosis,"Pelvic pain, painful periods, infertility","Pelvic pain, painful periods, infertility","Pain medications, hormonal therapies, surgery",
Hydronephrosis,"Flank pain, urinary frequency, swelling in the abdomen","Flank pain, urinary frequency, swelling in the abdomen","Treating underlying cause, medications, ureteral stent, surgery",
Bell Palsy,"Facial weakness or paralysis, drooping of the mouth or eyelid","Facial weakness or paralysis, drooping of the mouth or eyelid","Corticosteroids, antiviral medications, eye protection, physical therapy",
Abscess of Nose,"Pain, swelling, redness, discharge from the nose","Pain, swelling, redness, discharge from the nose","Antibiotics, warm compresses, surgical drainage (in severe cases)",
Bladder Disorder,"Frequent urination, urgency, pelvic pain","Frequent urination, urgency, pelvic pain","Medications, bladder training, lifestyle changes",
Emphysema,"Shortness of breath, wheezing, chronic cough, chest tightness, fatigue, weight loss","Shortness of breath, wheezing, chronic cough, chest tightness, fatigue, weight loss","Smoking cessation (the most important intervention), medications to manage symptoms (such as bronchodilators, inhaled corticosteroids), pulmonary rehabilitation (exercise training, breathing techniques), supplemental oxygen therapy (in advanced cases), vaccination against respiratory infections, avoiding exposure to irritants (such as secondhand smoke or air pollutants), regular monitoring of symptoms and lung function, surgical interventions (such as lung volume reduction surgery or lung transplantation)",
Extrapyramidal Effect of Drugs,"Muscle stiffness, tremors, involuntary movements","Muscle stiffness, tremors, involuntary movements","Adjusting medication dosage, switching to alternative medications",
Vasculitis,"Inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss","Inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss","Treatment depends on the type and severity of vasculitis. It may include corticosteroids, immunosuppressive medications (such as cyclophosphamide or azathioprine), biologic therapies (such as rituximab), disease-specific treatments (such as plasmapheresis for certain types), supportive care to manage symptoms (such as pain relievers or blood pressure medications), monitoring and management of associated complications (such as organ damage or infections)",
Female Infertility of Unknown Cause,"Inability to conceive after one year of unprotected intercourse, irregular or absent menstrual cycles, hormonal imbalances, age-related factors, other","Inability to conceive after one year of unprotected intercourse, irregular or absent menstrual cycles, hormonal imbalances, age-related factors, other","Fertility testing and evaluation (hormone tests, imaging, genetic screening), lifestyle modifications (healthy diet, regular exercise, stress reduction), fertility treatments (assisted reproductive technologies, fertility medications)",
Syringomyelia,"Muscle weakness, loss of sensation, chronic pain","Muscle weakness, loss of sensation, chronic pain","Surgical decompression, draining of syrinx (cyst), physical therapy, pain management techniques",
Von Hippel-Lindau Disease,"Hemangioblastomas (tumors in the brain, spinal cord, or other organs), retinal angiomas (abnormal blood vessel growth in the retina), renal cell carcinomas (kidney tumors), pheochromocytomas (adrenal gland tumors), pancreatic cysts/tumors, other tumors or cysts","Hemangioblastomas (tumors in the brain, spinal cord, or other organs), retinal angiomas (abnormal blood vessel growth in the retina), renal cell carcinomas (kidney tumors), pheochromocytomas (adrenal gland tumors), pancreatic cysts/tumors, other tumors or cysts","Regular monitoring and surveillance to detect and manage tumor growth and associated complications, surgical removal or treatment of tumors if necessary, embolization or radiation therapy for certain tumors, medication or surgery to manage hormonal issues (such as pheochromocytomas), genetic counseling and testing, screening and management for other potential complications (such as kidney function monitoring)",
Hemorrhoids,"Swollen, itchy, or painful veins in the rectal area","Swollen, itchy, or painful veins in the rectal area","Increasing fiber intake, staying hydrated, avoiding straining during bowel movements, warm sitz baths, topical creams or ointments, over-the-counter pain relievers (after consulting with a healthcare provider)",
Bursitis,"Joint pain, swelling, tenderness, limited range of motion","Joint pain, swelling, tenderness, limited range of motion","Rest, ice, compression, elevation (RICE therapy), pain relievers, physical therapy, steroid injections",
Cannabis Use Disorder,"Increased appetite, relaxation, altered perception of time, impaired memory and concentration, bloodshot eyes, anxiety or paranoia (in some individuals), withdrawal symptoms (such as irritability, insomnia) when attempting to stop or reduce cannabis use, continued use despite negative consequences (such as relationship problems, job difficulties)","Increased appetite, relaxation, altered perception of time, impaired memory and concentration, bloodshot eyes, anxiety or paranoia (in some individuals), withdrawal symptoms (such as irritability, insomnia) when attempting to stop or reduce cannabis use, continued use despite negative consequences (such as relationship problems, job difficulties)","Counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups, addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support",
Heart Block,"Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms","Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms","Medications (such as beta-blockers, calcium channel blockers), pacemaker implantation (in severe cases or symptomatic heart block), underlying condition management",
Hemolytic Anemia,"Fatigue, weakness, pale skin, shortness of breath, jaundice","Fatigue, weakness, pale skin, shortness of breath, jaundice","Treatment of underlying cause, blood transfusions, medications (immunosuppressants, corticosteroids), splenectomy (in some cases), supportive care, folic acid or iron supplementation",
Benzodiazepine Use Disorder,"Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce benzodiazepine use, continued use despite negative consequences (such as relationship problems, health risks)","Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce benzodiazepine use, continued use despite negative consequences (such as relationship problems, health risks)","Gradual tapering off benzodiazepines under medical supervision, counseling or therapy (such as cognitive-behavioral therapy), support groups, addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support",
Mitral Valve Disease,"Fatigue, shortness of breath, heart palpitations","Fatigue, shortness of breath, heart palpitations","Medications, lifestyle changes, surgical repair or replacement of the valve (in severe cases)",
Varicose Veins,"Enlarged, swollen veins, often in the legs","Enlarged, swollen veins, often in the legs","Elevating legs, wearing compression stockings, regular exercise, avoiding prolonged sitting or standing, maintaining a healthy weight",
Recurrent salivary stones,Frequent episodes of stone formation,Frequent episodes of stone formation,"Hydration,Saliva stimulation, Stone removal",
Ocular Hypertension,Elevated intraocular pressure without optic nerve damage,Elevated intraocular pressure without optic nerve damage,"Observation with regular eye exams, use of eye drops to lower intraocular pressure (if necessary)",
Colonic Polyp,"Most colonic polyps do not cause symptoms. Some larger polyps or certain types may cause rectal bleeding or changes in bowel habits, such as diarrhea or constipation.","Most colonic polyps do not cause symptoms. Some larger polyps or certain types may cause rectal bleeding or changes in bowel habits, such as diarrhea or constipation.","Polypectomy (removal of polyp during colonoscopy), surveillance colonoscopy (regular monitoring for recurrence or new polyps), lifestyle modifications (healthy diet, regular exercise, smoking cessation), follow-up based on pathology findings",
Indigestion,"Abdominal pain, bloating, heartburn, nausea, acidic taste","Abdominal pain, bloating, heartburn, nausea, acidic taste","Lifestyle changes (e.g., dietary modifications, stress reduction), over-the-counter antacids, medication, therapy",
Acute Glaucoma,"Severe eye pain, blurred vision, halos around lights","Severe eye pain, blurred vision, halos around lights","Medications (eye drops), laser therapy, surgery (in some cases)",
Hypoglycemia,"Shaking, dizziness, confusion, sweating","Shaking, dizziness, confusion, sweating","Consuming glucose or sugar-containing foods, adjusting medication or insulin dosage",
Sciatica,"Sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg","Sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg","Rest, gentle stretching exercises, warm or cold compresses, prenatal massages, maintaining good posture, avoiding activities that worsen the pain",
Type 2 Diabetes,"Fatigue, Increased hunger, Slow healing of wounds","Fatigue, Increased hunger, Slow healing of wounds","Oral medications, Insulin therapy (in some cases), Blood sugar monitoring, Exercise",
Cystic Fibrosis,"Persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin","Persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin","Medications (mucus-thinning drugs, bronchodilators), chest physical therapy, enzyme supplements, lung transplant (in severe cases)",
Insulin Overdose,"Low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)","Low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)","Immediate treatment of hypoglycemia, medical assistance, adjusting insulin dosage and regimen",
Peritonsillar Abscess,"Severe sore throat, difficulty swallowing, fever, swollen tonsils, voice changes, neck pain or stiffness","Severe sore throat, difficulty swallowing, fever, swollen tonsils, voice changes, neck pain or stiffness","Antibiotics to treat infection, drainage of the abscess (needle aspiration or incision and drainage), pain relievers, warm saltwater gargles, rest, fluids, surgical removal of the tonsils (in chronic or recurrent cases)",
Leishmaniasis,"Skin sores, fever, weight loss, enlarged spleen or liver","Skin sores, fever, weight loss, enlarged spleen or liver","Antiparasitic medications, treatment of complications, vector control measures (in endemic areas)",
Pulmonary Congestion,"Shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness","Shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness","Diuretics, medications to manage underlying conditions (e.g., heart failure), oxygen therapy, lifestyle changes",
Magnesium Deficiency,"Muscle twitches or cramps, fatigue, weakness, loss of appetite, nausea, vomiting, irritability, mental confusion, irregular heartbeat, tingling or numbness, personality changes, seizures","Muscle twitches or cramps, fatigue, weakness, loss of appetite, nausea, vomiting, irritability, mental confusion, irregular heartbeat, tingling or numbness, personality changes, seizures","Dietary changes (consuming magnesium-rich foods), oral magnesium supplements, intravenous magnesium therapy (in severe cases), addressing underlying causes (e.g., malabsorption), medical supervision and monitoring",
Fracture of the Shoulder,"Shoulder pain, swelling, limited range of motion","Shoulder pain, swelling, limited range of motion","Immobilization (sling, brace), pain management, physical therapy, surgical intervention (in severe cases)",
Thrombophlebitis,"Redness, warmth, swelling, and tenderness along a vein, pain or discomfort, skin discoloration, visible veins, fever","Redness, warmth, swelling, and tenderness along a vein, pain or discomfort, skin discoloration, visible veins, fever","Medications to manage pain and inflammation, compression stockings or bandages to promote blood flow, elevation of the affected limb, warm compresses, regular movement and exercise, treatment of underlying causes (such as infection or intravenous catheter removal), anticoagulant therapy to prevent clot formation or progression",
Encephalitis,"Headache, fever, confusion, seizures, neurological symptoms","Headache, fever, confusion, seizures, neurological symptoms","Hospitalization, antiviral medications (if caused by a viral infection), supportive care",
Fat Embolism,"Respiratory distress, chest pain, confusion, petechial rash (small red or purple spots), neurological symptoms","Respiratory distress, chest pain, confusion, petechial rash (small red or purple spots), neurological symptoms","Supportive care (oxygen therapy, fluid resuscitation), managing symptoms (pain medication, anticoagulants), treatment of underlying cause if possible",
Cyst of the Eyelid,"Painful lump or swelling on the eyelid, redness, tenderness","Painful lump or swelling on the eyelid, redness, tenderness","Warm compresses, good eyelid hygiene, antibiotic ointments (if infected), surgical removal (if necessary)",
Dislocation of the Patella,"Knee pain, swelling, inability to straighten the leg","Knee pain, swelling, inability to straighten the leg","Manual reduction, immobilization, physical therapy",
Conjunctivitis due to Allergy,"Redness, itching, watery discharge, swollen eyelids","Redness, itching, watery discharge, swollen eyelids","Allergen avoidance, antihistamine eye drops, cold compresses, lubricating eye drops",
Coagulation (Bleeding) Disorder,"Easy bruising, prolonged bleeding after injury or surgery, excessive bleeding from minor cuts or abrasions, frequent nosebleeds, heavy menstrual bleeding","Easy bruising, prolonged bleeding after injury or surgery, excessive bleeding from minor cuts or abrasions, frequent nosebleeds, heavy menstrual bleeding","Blood transfusions, clotting factor replacement therapy, medications to stimulate clotting, lifestyle modifications, surgery (in some cases)",
Idiopathic Absence of Menstruation,Lack of menstrual periods,Lack of menstrual periods,"Evaluation to determine underlying cause, hormone therapy",
Migraine,"Severe headaches, nausea, sensitivity to light and sound","Severe headaches, nausea, sensitivity to light and sound","Pain-relieving medications, lifestyle changes, preventive medications",
